2.982421874999999778e-01,2.328256607567714964e-01,8.927251273965576273e-01,1.000000000000000021e-03
3.154947916666666630e-01,2.548662802161456575e-01,8.968410799770936137e-01,1.000000000000000021e-03
3.229166666666666852e-01,2.615185796340632751e-01,8.978345529675340053e-01,5.000000000000000104e-04
3.289062500000000111e-01,2.641935828473847558e-01,8.986123032854722581e-01,2.500000000000000052e-04
3.317708333333333481e-01,2.659035413636683942e-01,8.991000166470158872e-01,1.250000000000000026e-04
3.331380208333333259e-01,2.667509274855453527e-01,8.993578340506266366e-01,6.250000000000000130e-05
3.341796874999999889e-01,2.669970091849045435e-01,8.994984793876589224e-01,3.125000000000000065e-05
3.339192708333333370e-01,2.671011389316214624e-01,8.995465597615858178e-01,1.562500000000000033e-05
3.349609375000000000e-01,2.672310237480738371e-01,8.995511700576593883e-01,7.812500000000000163e-06
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
