3.447559709241952430e-01,3.306555434449743869e-01,9.080284630551926917e-01,1.000000000000000048e-04
3.602024922118380323e-01,3.465570388089784792e-01,9.072884237475440372e-01,1.000000000000000048e-04
3.861630321910695662e-01,3.702845105071511100e-01,9.106740857732018579e-01,5.000000000000000240e-05
3.970015576323987494e-01,3.787694078386276142e-01,9.104840654468491223e-01,2.500000000000000120e-05
4.020638629283488918e-01,3.839594334968060019e-01,9.094409235622045173e-01,1.250000000000000060e-05
4.049195223260643739e-01,3.866054023041966548e-01,9.094501239856862540e-01,6.250000000000000300e-06
4.051142263759086037e-01,3.870673736289956812e-01,9.089414140715328383e-01,3.125000000000000150e-06
4.057632398753894254e-01,3.866512112996584594e-01,9.087052728274289670e-01,1.562500000000000075e-06
4.071910695742471664e-01,3.869497976998237943e-01,9.088674478644198640e-01,7.812500000000000374e-07
4.065420560747663448e-01,3.867295419896135122e-01,9.087739452952000585e-01,3.906250000000000187e-07
